"n","dist","evi","dt","id","date","state"
2,38.013,NA,415,"blanca",2019-06-23 19:06:22,5
2,13.601,NA,424,"blanca",2019-06-23 19:13:17,1
3,43.046,NA,463,"blanca",2019-06-23 19:20:21,2
2,19.235,NA,400,"blanca",2019-06-23 19:28:04,2
2,14.866,NA,410,"blanca",2019-06-23 19:34:44,2
2,16.763,NA,422,"blanca",2019-06-23 19:41:34,2
1,2.236,NA,433,"blanca",2019-06-23 19:48:36,2
1,22.091,NA,390,"blanca",2019-06-23 19:55:49,2
1,23.601,NA,423,"blanca",2019-06-23 20:02:19,2
5,81.786,NA,423,"blanca",2019-06-23 20:09:22,5
3,45.398,NA,419,"blanca",2019-06-23 20:16:25,3
2,33.136,NA,459,"blanca",2019-06-23 20:23:24,2
5,76.844,NA,166033,"blanca",2019-06-23 20:31:03,2
3,47.17,NA,460,"blanca",2019-06-25 18:38:16,3
4,77.078,NA,385,"blanca",2019-06-25 18:45:56,5
1,6.708,NA,425,"blanca",2019-06-25 18:52:21,3
2,19.925,NA,431,"blanca",2019-06-25 18:59:26,2
2,7.211,NA,406,"blanca",2019-06-25 19:06:37,2
3,34.655,NA,449,"blanca",2019-06-25 19:13:23,5
2,22.804,NA,390,"blanca",2019-06-25 19:20:52,1
7,113.741,NA,410,"blanca",2019-06-25 19:27:22,5
8,137.906,NA,432,"blanca",2019-06-25 19:34:12,3
2,22.204,NA,417,"blanca",2019-06-25 19:41:24,5
4,51.923,NA,412,"blanca",2019-06-25 19:48:21,5
2,41.785,NA,421,"blanca",2019-06-25 19:55:13,2
1,24.042,NA,422,"blanca",2019-06-25 20:02:14,2
3,55.145,NA,424,"blanca",2019-06-25 20:09:16,5
4,66.219,NA,421,"blanca",2019-06-25 20:16:20,2
3,63.702,NA,81361,"blanca",2019-06-25 20:23:21,2
5,84.404,NA,417,"blanca",2019-06-26 18:59:22,1
2,13.601,NA,438,"blanca",2019-06-26 19:06:19,3
1,5.657,NA,1283,"blanca",2019-06-26 19:13:37,2
2,8.062,NA,384,"blanca",2019-06-26 19:35:00,5
3,43.417,NA,460,"blanca",2019-06-26 19:41:24,5
2,41,NA,417,"blanca",2019-06-26 19:49:04,1
3,19.416,NA,395,"blanca",2019-06-26 19:56:01,2
1,28.16,NA,410,"blanca",2019-06-26 20:02:36,2
