"n","ndvi","X1","X3","X4","X5","X7","dt","id","date","date.round","state","t.ar","rain"
1,0.850682014638631,0,1,0,0,0,NA,"tm10",2015-01-25 15:20:00,2015-01-25 15:00:00,"Foraging",30.3,0
2,0.853189947558845,0,1,0,0,0,300,"tm10",2015-01-25 15:25:00,2015-01-25 15:00:00,"Foraging",30.3,0
2,0.855817612140663,0,1,0,0,0,360,"tm10",2015-01-25 15:31:00,2015-01-25 16:00:00,"Foraging",29.5,0
6,0.846101694059464,0,1,0,0,0,180,"tm10",2015-01-25 15:34:00,2015-01-25 16:00:00,"Transit",29.5,0
3,0.836349536889859,0,1,0,0,0,4920,"tm10",2015-01-25 16:56:00,2015-01-25 17:00:00,"Transit",23.3,7
2,0.841338312533422,0,1,0,0,0,1920,"tm10",2015-01-25 17:28:00,2015-01-25 17:00:00,"Foraging",23.3,7
3,0.841874645694007,0,1,0,0,0,300,"tm10",2015-01-25 17:33:00,2015-01-25 18:00:00,"Foraging",23.5,0
2,0.839869894967729,0,1,0,0,0,300,"tm10",2015-01-25 17:38:00,2015-01-25 18:00:00,"Foraging",23.5,0
3,0.838692310698317,0,1,0,0,0,360,"tm10",2015-01-25 17:44:00,2015-01-25 18:00:00,"Foraging",23.5,0
3,0.820500622532499,0,1,0,0,0,180,"tm10",2015-01-25 17:47:00,2015-01-25 18:00:00,"Foraging",23.5,0
2,0.747787803430705,0,1,0,0,0,300,"tm10",2015-01-25 17:52:00,2015-01-25 18:00:00,"Foraging",23.5,0
1,0.706141019779191,0,1,0,0,0,300,"tm10",2015-01-25 17:57:00,2015-01-25 18:00:00,"Foraging",23.5,0
2,0.747787803430705,0,1,0,0,0,300,"tm10",2015-01-25 18:02:00,2015-01-25 18:00:00,"Foraging",23.5,0
1,0.789434587082219,0,1,0,0,0,300,"tm10",2015-01-25 18:07:00,2015-01-25 18:00:00,"Burrow",23.5,0
1,0.789434587082219,0,1,0,0,0,300,"tm10",2015-01-25 18:12:00,2015-01-25 18:00:00,"Burrow",23.5,0
1,0.789434587082219,0,1,0,0,0,300,"tm10",2015-01-25 18:17:00,2015-01-25 18:00:00,"Burrow",23.5,0
1,0.789434587082219,0,1,0,0,0,300,"tm10",2015-01-25 18:22:00,2015-01-25 18:00:00,"Burrow",23.5,0
1,0.789434587082219,0,1,0,0,0,360,"tm10",2015-01-25 18:28:00,2015-01-25 18:00:00,"Burrow",23.5,0
1,0.789434587082219,0,1,0,0,0,180,"tm10",2015-01-25 18:31:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
1,0.789434587082219,0,1,0,0,0,300,"tm10",2015-01-25 18:36:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
1,0.789434587082219,0,1,0,0,0,300,"tm10",2015-01-25 18:41:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
1,0.789434587082219,0,1,0,0,0,300,"tm10",2015-01-25 18:46:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
