"n","X1","X3","X4","X5","X7","dt","id","date","date.round","state","t.ar","rain"
13,0,1,0,0,0,NA,"tm10",2015-01-25 15:20:00,2015-01-25 15:00:00,"Foraging",30.3,0
32,0,1,0,0,0,300,"tm10",2015-01-25 15:25:00,2015-01-25 15:00:00,"Foraging",30.3,0
52,0,1,0,0,0,360,"tm10",2015-01-25 15:31:00,2015-01-25 16:00:00,"Foraging",29.5,0
138,0,1,0,0,0,180,"tm10",2015-01-25 15:34:00,2015-01-25 16:00:00,"Transit",29.5,0
75,0,1,0,0,0,4920,"tm10",2015-01-25 16:56:00,2015-01-25 17:00:00,"Transit",23.3,7
25,0,1,0,0,0,1920,"tm10",2015-01-25 17:28:00,2015-01-25 17:00:00,"Foraging",23.3,7
42,0,1,0,0,0,300,"tm10",2015-01-25 17:33:00,2015-01-25 18:00:00,"Foraging",23.5,0
69,0,1,0,0,0,300,"tm10",2015-01-25 17:38:00,2015-01-25 18:00:00,"Foraging",23.5,0
46,0,1,0,0,0,360,"tm10",2015-01-25 17:44:00,2015-01-25 18:00:00,"Foraging",23.5,0
46,0,1,0,0,0,180,"tm10",2015-01-25 17:47:00,2015-01-25 18:00:00,"Foraging",23.5,0
42,0,1,0,0,0,300,"tm10",2015-01-25 17:52:00,2015-01-25 18:00:00,"Foraging",23.5,0
14,0,1,0,0,0,300,"tm10",2015-01-25 17:57:00,2015-01-25 18:00:00,"Foraging",23.5,0
9,0,1,0,0,0,300,"tm10",2015-01-25 18:02:00,2015-01-25 18:00:00,"Foraging",23.5,0
2,0,1,0,0,0,300,"tm10",2015-01-25 18:07:00,2015-01-25 18:00:00,"Burrow",23.5,0
1,0,1,0,0,0,300,"tm10",2015-01-25 18:12:00,2015-01-25 18:00:00,"Burrow",23.5,0
2,0,1,0,0,0,300,"tm10",2015-01-25 18:17:00,2015-01-25 18:00:00,"Burrow",23.5,0
2,0,1,0,0,0,300,"tm10",2015-01-25 18:22:00,2015-01-25 18:00:00,"Burrow",23.5,0
2,0,1,0,0,0,360,"tm10",2015-01-25 18:28:00,2015-01-25 18:00:00,"Burrow",23.5,0
1,0,1,0,0,0,180,"tm10",2015-01-25 18:31:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
2,0,1,0,0,0,300,"tm10",2015-01-25 18:36:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
